degree,total_error,time_seconds
50,49.49572696746142,0.08314657211303711
60,0.0017542123202978314,0.09813904762268066
70,1.2756240675912411e-07,0.11316132545471191
80,1.319471057519006e-07,0.12771105766296387
90,1.3194709359495849e-07,0.15616798400878906
100,1.3194709359495849e-07,0.16257905960083008
